Reference, Value, Footprint, Datasheet, MFR, MPN, SPN, SPR, SPURL, Holder DataSheet, Connector
"R308","226k 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB2263V","P226KDACT-ND","digikey","-","",""
"R309","196K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB1963V","P196KDACT-ND","digikey","-","",""
"C311","10uF X7R 25V 10%","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHNNNE.jsp","Samsung Electro-Mechanics","CL31B106KAHNNNE","1276-1804-1-ND","digikey","-","",""
"L302","15uH 730mA Sat","Inductors_jl:Inductor_1210_HandSoldering","https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=CBC3225T150KR%20%20&u=M","Taiyo Yuden","CBC3225T150KR","587-3066-1-ND","digikey","-","",""
"C310","10uF X7R 25V 10%","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHNNNE.jsp","Samsung Electro-Mechanics","CL31B106KAHNNNE","1276-1804-1-ND","digikey","-","",""
"R310","105k 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB1053V","P105KDACT-ND","digikey","-","",""
"R311","20K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB203V","P20KDACT-ND","digikey","-","",""
"C308","10uF X7R 25V 10%","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHNNNE.jsp","Samsung Electro-Mechanics","CL31B106KAHNNNE","1276-1804-1-ND","digikey","-","",""
"U303","TPS560200DBVR","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/ds/symlink/tps560200.pdf","Texas Instruments","TPS560200DBVR","296-38559-1-ND","digikey","-","",""
"C309","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"C312","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"C313","1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","~","Wurth Elektronik","885012207078","732-7672-1-ND","digikey","-","",""
"U304","TLV70430DBVT","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/ds/symlink/tlv704.pdf","Texas Instruments","TLV70430DBVT","296-32419-1-ND","digikey","-","",""
"Q305","IRFP4321PBF","Transistors_ThroughHole_jl:TO-247-3_Horizontal_TabDown","https://www.infineon.com/dgdl/irfp4321pbf.pdf?fileId=5546d462533600a40153562c4f802011","Infineon Technologies","IRFP4321PBF","IRFP4321PBF-ND","digikey","-","",""
"C314","1uF X7R 250V 10%","Capacitors_SMD:C_2220_HandSoldering","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey","TDK Corporation","C5750X7R2E105K230KA","445-2304-1-ND","digikey","-","",""
"R312","1K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-071KL","311-1.00KCRCT-ND","digikey","-","",""
"U301","FDA217","SMD_Packages:DIP-8_SMD","http://www.ixysic.com/home/pdfs.nsf/www/FDA217.pdf/$file/FDA217.pdf","IXYS Integrated Circuits Division","FDA217S","CLA408-ND","digikey","-","",""
"R302","330R 1%","Resistors_SMD:R_0805_HandSoldering","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","TE Connectivity Passive Product","CRGCQ0805F330R","A129743CT-ND","digikey","-","",""
"Q301","BC847B-13-F","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.diodes.com/assets/Datasheets/ds11108.pdf","Diodes Incorporated","BC847B-13-F","BC847B-13-FDICT-ND","digikey","-","",""
